"Story","Title","Result","Date","Stability","Duration (s)"
"Create Pet","Create pet successfully.","SUCCESS","2026-01-11T20:56:06.989929-05:00[America/Bogota]","0.0","7.53"
"Create User","Create user successfully.","SUCCESS","2026-01-11T22:30:48.1173023-05:00[America/Bogota]","0.0","9.46"
"Config User","Create user successfully","SUCCESS","2026-01-14T11:48:15.8514381-05:00[America/Bogota]","0.0","7.78"
